sei_numero,status,cpr,upm,publico_previsto,natureza,evento,endereco,cidade,inicio,fim,local_caracteristica,transito,Coluna 14,latitude,longitude
00054-00071347/2023-42,ENC,6º CPR,26º BPM,0,JUNINA/ESCOLA,EC CACHOEIRINHA,"COMÉRCIO LOCAL 103, LOTE F SANTA MARIASUL",Santa Maria,2023-06-16 09:30:00,2023-06-16 16:00:00,,,2023-01-08,,
00220-00004078/2023-31,ENC,6º CPR,27º BPM,0,JUNINA,FESTA JUNINA -  CENTRO OLÍMPICO E PARALÍMPICO DO RECANTO DAS EMAS,RECANTO DAS EMAS - DF - CENTRO OLÍMPICO E PARALÍMPICO DO RECANTO,Recanto das Emas,2023-06-16 17:00:00,2023-06-16 21:00:00,PUBA,,2023-06-15,,
00050-00005622/2023-42,ENC,6º CPR,9º BPM,1000,JUNINA,25º ARRAIÁ DA IMACULADA,GAMA - DF - ÁREA ESPECIAL 02 LOTE 08 - SETOR CENTRAL,Gama,2023-06-16 18:00:00,2023-06-17 01:00:00,PUBA,,2023-05-10,,
00050-00006975/2023-60,ENC,6º CPR,9º BPM,100,JUNINA,FESTA JUNINA DA CAPELA SÃO LUIZ GONZAGA,GAMA - DF - ENTRE AS QUADRAS 13/15 - SETOR SUL,Gama,2023-06-16 19:00:00,2023-06-16 23:00:00,PRIF,,2023-06-07,,
00054-00071347/2023-42,ENC,6º CPR,27º BPM,0,JUNINA/ESCOLA,EC CACHOEIRINHA,QD 203 LOTE 32 (ANTIGA FACULDADE DA TERRA),Recanto das Emas,2023-06-17 08:30:00,2023-06-17 16:00:00,,,2023-01-08,,
00054-00071347/2023-42,ENC,6º CPR,27º BPM,0,JUNINA/ESCOLA,EC CACHOEIRINHA,"SÍTIO NOVA ESPERANÇA, DF 280, KM 7/8, SETOR HABITACIONAL ÁGUA QUENTE",Recanto das Emas,2023-06-17 10:00:00,2023-06-17 14:00:00,,,2023-01-08,,
00054-00071347/2023-42,ENC,6º CPR,25º BPM,500,JUNINA/ESCOLA,EC CACHOEIRINHA,"AV. CENTRAL, ÁREA ESPECIAL Nº 11 ",Núcleo Bandeirante,2023-06-17 10:00:00,2023-06-17 19:00:00,,,2023-01-08,,
00080-00119434/2023-99,ENC,6º CPR,9º BPM,800,JUNINA/ESCOLA,FESTA JUNINA - CEE 01,EQ 10/15 - ÁREA ESPECIAL- SETOR LESTE GAMA,Gama,2023-06-17 14:00:00,2023-06-17 18:00:00,,,2023-05-25,,
00050-00006073/2023-23,ENC,6º CPR,9º BPM,0,JUNINA,FESTA JUNINA DO COLÉGIO ELITE,"AV. CONTORNO, LOTE 4 - RANCHO UIRAPURU - SETOR OESTE",Gama,2023-06-17 14:00:00,2023-06-17 23:50:00,,,2023-05-17,,
00050-00005702/2023-06,ENC,6º CPR,26º BPM,600,JUNINA,"FESTA JUNINA - CL 218, CONJUNTO E","SANTA MARIA NORTE/DF - CL 218, CONJUNTO E",Santa Maria,2023-06-17 14:30:00,2023-06-17 23:30:00,PUBA,,2023-05-16,,
